node,degree_centrality,weighted_degree,betweenness,pagerank,clustering,Name,isAlive
Softfoot,0.0015503875968992248,3,0.0,0.00033575750546917184,0.0,Softfoot,0
Munda,0.0015503875968992248,4,0.0,0.00032948445650538943,0.0,Munda,1
Nage,0.0015503875968992248,3,0.0,0.0003245925604280894,0.0,Nage,1
Ragwyle,0.0015503875968992248,3,0.0,0.0003097123689044022,0.0,Ragwyle,1
Zollo,0.006201550387596899,14,9.629736626703259e-07,0.0006062551353394444,0.039524857799735476,Zollo,1
Rus,0.0015503875968992248,5,0.0,0.0004366654924551442,0.0,Rus,1
Armen,0.009302325581395349,23,2.5679297671208696e-05,0.0013786289731319865,0.03208313633103881,Armen,1
Marwyn,0.004651162790697674,12,0.0007404833221167805,0.0006531368082827333,0.035334843746617904,Marwyn,1
Mollander,0.006201550387596899,20,6.018585391689537e-06,0.00121357964803206,0.04984207738676246,Mollander,1
Roone,0.006201550387596899,20,1.2037170783379074e-06,0.0011976168188418972,0.04874812898305025,Roone,1
Cedra,0.0031007751937984496,13,0.0,0.0006436414365221981,0.10798565654354615,Cedra,1
Mellei,0.0031007751937984496,8,0.0,0.0007022316208271098,0.04285413619867546,Mellei,1
Morra,0.0031007751937984496,8,0.0,0.0007022316208271098,0.04285413619867546,Morra,1
Timoth,0.0015503875968992248,3,0.0,0.0003289057248330868,0.0,Timoth,1
Brea,0.004651162790697674,12,2.407434156675815e-06,0.0007242198757535496,0.035302305729401344,Brea,1
Brusco,0.0031007751937984496,9,0.0,0.0005266878485846168,0.053992828271773076,Brusco,1
Meralyn,0.0015503875968992248,9,0.0,0.00044313755985621425,0.0,Meralyn,1
Talea,0.0031007751937984496,8,0.0,0.0005311002317783783,0.05191408891643094,Talea,1
Umma,0.0015503875968992248,6,0.0,0.0003728244207090965,0.0,Umma,1
Tallad,0.009302325581395349,19,0.001045429981594858,0.0008178219003738136,0.024350784544376225,Tallad,1
Illifer,0.0031007751937984496,23,0.0,0.0010001153789427064,0.11885359394363713,Illifer,1
Narbert,0.004651162790697674,14,0.0,0.0006676580413397292,0.06277091443538148,Narbert,1
